Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.41     0.00   345662     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > std::copy<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.00      1.41     0.00   345662     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.00      1.41     0.00   298279     0.00     0.00  std::abs(double)
  0.00      1.41     0.00   263200     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      1.41     0.00   260816     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      1.41     0.00   257600     0.00     0.00  std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&)
  0.00      1.41     0.00   257600     0.00     0.00  std::complex<double> std::operator-<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      1.41     0.00   256232     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_deallocate(std::complex<double>*, unsigned long)
  0.00      1.41     0.00   256130     0.00     0.00  std::complex<double>* std::__uninitialized_default_n_a<std::complex<double>*, unsigned long, std::complex<double> >(std::complex<double>*, unsigned long, std::allocator<std::complex<double> >&)
  0.00      1.41     0.00   256124     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_allocate(unsigned long)
  0.00      1.41     0.00   256124     0.00     0.00  std::__new_allocator<std::complex<double> >::deallocate(std::complex<double>*, unsigned long)
  0.00      1.41     0.00   256124     0.00     0.00  std::__new_allocator<std::complex<double> >::allocate(unsigned long, void const*)
  0.00      1.41     0.00   256007     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      1.41     0.00   212544     0.00     0.00  Coordinates::neigh(int, int)
  0.00      1.41     0.00   130408     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      1.41     0.00   130408     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      1.41     0.00   129768     0.00     0.00  std::vector<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::allocator<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > >::operator[](unsigned long)
  0.00      1.41     0.00   129760     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      1.41     0.00   128218     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::resize(unsigned long)
  0.00      1.41     0.00   128122     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00      1.41     0.00   128122     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_default_append(unsigned long)
  0.00      1.41     0.00   128122     0.00     0.00  void std::_Destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00      1.41     0.00   128116     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_check_len(unsigned long, char const*) const
  0.00      1.41     0.00   128116     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::~_Vector_impl()
  0.00      1.41     0.00   128116     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.41     0.00   128116     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_relocate(std::complex<double>*, std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00      1.41     0.00   128116     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_do_relocate(std::complex<double>*, std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&, std::integral_constant<bool, true>)
  0.00      1.41     0.00   128116     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_use_relocate()
  0.00      1.41     0.00   128116     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      1.41     0.00   128116     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::~vector()
